0.00000,0.07747,0.07739,0.07730,0.07742,0.07725,0.07728,0.07735,0.07716,0.07718,0.07730,0.07749,0.07749,0.07720
0.07833,0.00000,0.07832,0.07825,0.07831,0.07828,0.07819,0.07826,0.07821,0.07818,0.07832,0.07832,0.07835,0.07821
0.07810,0.07814,0.00000,0.07816,0.07814,0.07805,0.07801,0.07800,0.07793,0.07802,0.07808,0.07815,0.07817,0.07810
0.07685,0.07697,0.07704,0.00000,0.07697,0.07677,0.07669,0.07676,0.07668,0.07678,0.07685,0.07710,0.07710,0.07676
0.07792,0.07796,0.07795,0.07791,0.00000,0.07783,0.07782,0.07788,0.07778,0.07775,0.07788,0.07800,0.07801,0.07780
0.07612,0.07627,0.07622,0.07606,0.07617,0.00000,0.07597,0.07601,0.07589,0.07589,0.07607,0.07634,0.07636,0.07597
0.07558,0.07561,0.07559,0.07541,0.07558,0.07538,0.00000,0.07538,0.07519,0.07525,0.07537,0.07581,0.07578,0.07531
0.07612,0.07617,0.07608,0.07595,0.07616,0.07590,0.07586,0.00000,0.07574,0.07574,0.07593,0.07628,0.07626,0.07585
0.07483,0.07498,0.07486,0.07476,0.07493,0.07470,0.07456,0.07462,0.00000,0.07454,0.07469,0.07519,0.07520,0.07458
0.07505,0.07516,0.07519,0.07508,0.07509,0.07491,0.07487,0.07485,0.07475,0.00000,0.07494,0.07536,0.07537,0.07481
0.07651,0.07664,0.07660,0.07650,0.07656,0.07642,0.07632,0.07638,0.07624,0.07626,0.00000,0.07671,0.07671,0.07634
0.07951,0.07946,0.07947,0.07952,0.07948,0.07952,0.07955,0.07953,0.07956,0.07954,0.07953,0.00000,0.07934,0.07956
0.07951,0.07949,0.07951,0.07954,0.07950,0.07953,0.07953,0.07951,0.07956,0.07953,0.07953,0.07935,0.00000,0.07953
0.07557,0.07569,0.07578,0.07556,0.07568,0.07547,0.07536,0.07546,0.07531,0.07535,0.07552,0.07590,0.07587,0.00000
